wrest      ,     name        
4862.69    ,     H-beta     
4960.295   ,     [O III]    
5008.24    ,     [O III]    
6549.86    ,     [N II]     
6564.61    ,     H-alpha    
6585.27    ,     [N II]     
6718.294   ,     [S II]     
6732.673   ,     [S II]     
9071.1     ,     [S III]    
9533.2     ,     [S III]    
10833.30644,     He I       
10941.082  ,     P-gamma    
12821.576  ,     P-beta     
18756.096  ,     P-alpha    
19450.89   ,     Br-delta   
21661.21   ,     Br-gamma
22100.00   ,     NaI [2.21 mum]
22600.00   ,     CaI [2.26mum]
22935.00   ,     CO(2-0) [2.23 mum]
23227.00   ,     CO(3-1) [2.32 mum]
23525.00   ,     CO(4-2) [2.35 mum]
23829.00   ,     CO(5-3) [2.38 mum]
26258.68   ,     Br-beta    
40522.690  ,     Br-alpha
