wrest     ,   ID,   name,  transition
912.000  ,   2,    Ly,    break
1026.00  ,   1,    Ly,    beta
1035.00  ,   1,    O ,    VI
1190.42  ,   2,    Si,    II
1193.28  ,   2,    Si,    II
1199.90  ,   2,    N ,    I
1206.51  ,   2,    Si,    III
1216.00  ,   1,    Ly,    alpha
1238.81  ,   2,    N ,    V
1242.80  ,   2,    N ,    V
1250.59  ,   2,    S ,    II
1253.81  ,   2,    S ,    II
1255.00  ,   2,    Fe,    V
1259.52  ,   2,    Si,    II
1260.42  ,   2,    Si,    II
1302.08  ,   2,    O ,    I
1304.40  ,   2,    Si,    II
1334.53  ,   2,    C ,    II
1335.70  ,   2,    C ,    II*
1371.00  ,   2,    O ,    V
1393.76  ,   2,    Si,    IV
1402.77  ,   2,    Si,    IV
1406.00  ,   1,    O ,    [IV]
1428.00  ,   2,    C ,    III
1486.00  ,   1,    N ,    IV]
1526.72  ,   2,    Si,    II
1548.20  ,   2,    C ,    IV
1550.77  ,   2,    C ,    IV
1608.45  ,   2,    Fe,    II
1640.00  ,   1,    He,    II
1670.91  ,   2,    Al,    II
1719.00  ,   1,    N ,    IV
1854.72  ,   2,    Al,    III
1862.78  ,   2,    Al,    III
1907.00  ,   1,    C ,    III]
1909.00  ,   1,    C ,    III]
2327.71  ,   1,    C ,    II]
2796.82  ,   2,    Mg,    II
2803.83  ,   2,    Mg,    II
3203.93  ,   1,    He,    II
3345.96  ,   1,    Ne,    [V]
3426.98  ,   1,    Ne,    [V]
3727.10  ,   1,    O ,    [II]
3729.86  ,   1,    O ,    [II]
3750.57  ,   1,    Fe,    I
3798.98  ,   2,    H ,    10
3836.49  ,   2,    H ,    9
3869.84  ,   1,    Ne,    [III]
3890.00  ,   2,    H ,    8
3890.15  ,   2,    H ,    f
3934.79  ,   2,    Ca,    II K
3969.61  ,   2,    Ca,    II H
4027.14  ,   1,    He,    I
4102.90  ,   2,    H ,    d
4227.89  ,   2,    Ca,    I
4305.61  ,   2,    G ,    band
4341.69  ,   2,    H ,    gamma
4364.44  ,   2,    O ,    [III]
4384.78  ,   2,    Fe,    I
4456.25  ,   2,    Ca,    I
4669.31  ,   2,    Fe,    I
4687.31  ,   1,    He,    II
4726.32  ,   1,    Ne,    [IV]
4862.688 ,   2,    H ,    b
4960.29  ,   1,    O ,    [III]
5008.24  ,   1,    O ,    [III]
5168.74  ,   2,    Mg,    I
5174.14  ,   2,    Mg,    I
5185.04  ,   2,    Mg,    I
5209.45  ,   2,    Mg,    H
5270.47  ,   2,    Ca,    I
5271.75  ,   2,    Fe,    I
5332.98  ,   2,    Fe,    I
5402.90  ,   2,    Fe,    I
5412.50  ,   1,    He,    II
5877.28  ,   1,    He,    I
5891.61  ,   2,    Na,    I
5894.13  ,   2,    Na,    I
5897.57  ,   2,    Na,    I
6302.04  ,   1,    O ,    [I]
6312.75  ,   1,    S ,    [III]
6364.76  ,   1,    O ,    [I]
6549.91  ,   1,    N ,    [II]
6564.633 ,   1,    H ,    a
6585.42  ,   1,    N ,    [II]
6678.0   ,   1,    He,    I
6718.854 ,   1,    S ,    [II]
6733.164 ,   1,    S ,    [II]
7065.00  ,   1,    H ,    I
7136.97  ,   1,    Ar,    [III]
7319.0   ,   1,    O ,    [II]
8239.26  ,   1,    He,    II
9071.49  ,   1,    S ,    [III]
9547.62  ,   1,    S ,    [III]
10122.77 ,   1,    He,    II
