wrest    ID  name   transition
912.00   2   Ly     break
1026.00  1   Ly     beta
1175.71  0   C      III
1216.00  1   Ly     alpha
1260.42  2   Si     II
1264.74  0   Si     II*
1302.08  2   O      I
1304.40  2   Si     II
1309.28  0   Si     II*
1334.53  2   C      II
1343.35  0   O      IV
1393.76  2   Si     IV
1402.77  2   Si     IV
1501.76  0   S      V
1526.72  2   Si     II
1533.43  0   Si     II*
1548.20  2   C      IV
1550.77  2   C      IV
1608.45  2   Fe     II
1640.00  1   He     II
1660.81  0   O      III]
1666.15  0   O      III]
1670.91  2   Al     II
1907.00  1   C      III]
1909.00  1   C      III]
